Study,ID,MV1,Mvall,SOI,LeadershipDom,CTS,WordSum,Gender,Age,PlayXViolence_mean,TimeXViolence_mean,PlayXESRB_mean,TimeXESRB_mean,GameMotivation_mean,Height,Weight,Strength,BodyShape,Country,Education,Occu,CurrentIncome,FutureIncome,Sexuality,RelStat,Reltime,Relage,Kids,NumberGirls,NumberBoys,NumberTeenageBoys,TeenageBoys_binary,KidsAge_mean
Mturk1,1,,,,,,0,Male,28,12,,8,,,6,5,5,,USA,5,2,14,15,3,2,,,No,0,0,0,No,
Mturk1,2,2.75,,,,,0,Female,33,11.75,,5.5,,,6,2,,3,USA,4,5,13,14,2,1,3,3,No,0,0,0,No,
Mturk1,3,4.5,,,,,0,Male,27,13,,10,,,4,2,3,,USA,4,4,14,14,3,2,,,No,0,0,0,No,
Mturk1,4,5.75,,25,,,5,Female,36,26.8,,17.4,,,4,5,,5,usa,4,1,15,15,3,1,6,2,Yes,3,2,1,Yes,10.5
Mturk1,5,4.25,,22,5.7,8,9,Female,33,8.2,,10.6,,,5,6,,3,uSA,5,2,17,17,1,1,3,3,No,0,0,0,No,
Mturk1,6,5.25,,25,,,4,Male,19,19.2,,10.2,,,4,5,3,,United States,2,12,13,13,3,1,1,3,No,0,0,0,No,
Mturk1,7,5.75,,25,5,7,6,Male,19,15.8,,9.8,,,4,5,3,,United States,2,12,13,13,3,1,1,3,No,0,0,0,No,
Mturk1,8,5.25,,26,5.1,5,7,Female,33,3,,3.33,,,4,4,,4,USA,4,2,14,14,3,2,,,No,0,0,0,No,
Mturk1,9,5,,37,5.3,5,5,Male,28,22,,14.67,,,5,6,4,,United States,4,4,15,15,3,1,3,5,Yes,0,3,0,No,5.833333333
Mturk1,10,5.25,,53,4.3,5,7,Female,40,16,,9.5,,,2,5,,5,USA,2,5,13,13,2,1,3,1,Yes,2,1,1,Yes,15.83333333
Mturk1,11,6.75,,26,7,12,5,Female,40,41,,26.4,,,4,1,,4,USA,3,5,13,14,2,1,7,5,Yes,0,1,0,No,7.5
Mturk1,12,5.25,,31,3.6,8,8,Male,33,22,,18,,,3,4,4,,USA,4,2,14,14,3,1,6,5,No,0,0,0,No,
Mturk1,13,6,,48,5.5,5,8,Male,35,24.33333333,,13.67,,,4,4,5,,USA,4,12,13,16,3,1,2,3,No,0,0,0,No,
Mturk1,14,3.25,,10,1.9,14,7,Female,38,9.4,,10.5,,,4,5,,5,USA,2,12,13,13,3,1,5,6,No,0,0,0,No,
Mturk1,15,5.5,,39,5.8,9,7,Female,22,16,,6,,,4,4,,4,USA,4,12,13,13,2,4,2,5,No,0,0,0,No,
Mturk1,16,3.75,,42,4.5,24,6,Male,29,17.2,,11.4,,,5,3,5,,United States,2,12,13,14,1,4,3,3,Yes,1,0,0,No,2.5
Mturk1,17,5.5,,24,4.3,5,7,Male,20,6.333333333,,4.67,,,3,4,4,,USA,2,4,13,15,3,2,,,No,0,0,0,No,
Mturk1,18,5.75,,57,7,6,5,Male,37,13.8,,5,,,4,5,7,,usa,2,9,13,15,3,4,3,2,No,0,0,0,No,
Mturk1,19,5.5,,15,5.5,7,6,Female,28,30.2,,21.8,,,4,4,,5,usa,2,3,14,14,3,1,6,7,No,0,0,0,No,
Mturk1,20,6,,45,5,9,7,Male,24,16.4,,10.2,,,4,4,5,,United States of America,5,2,14,14,3,4,2,5,No,0,0,0,No,
Mturk1,21,5,,51,4.7,5,9,Male,23,12.66666667,,8.67,,,5,6,5,,USA,4,12,13,13,3,2,,,No,0,0,0,No,
Mturk1,22,5.25,,27,6.3,8,8,Male,21,26.2,,13.6,,,4,6,6,,United States,2,9,13,15,3,2,,,No,0,0,0,No,
Mturk1,23,4.25,,36,3.8,5,6,Male,22,28.4,,16.75,,,5,5,5,,United States of America,3,5,13,15,3,2,,,No,0,0,0,No,
Mturk1,24,2,,31,4.4,10,8,Female,51,10,,7.67,,,5,7,,1,USA,5,4,13,13,3,1,7,3,No,0,0,0,No,
Mturk1,25,5,,41,5.1,5,4,Male,21,8.8,,7.75,,,4,4,4,,United States,2,12,13,15,3,2,,,No,0,0,0,No,
Mturk1,26,6.25,,32,6.6,6,6,Male,25,22.8,,20,,,6,4,5,,usa,4,4,14,14,3,1,2,4,No,0,0,0,No,
Mturk1,27,4.75,,44,4.3,16,3,Male,28,23,,14.2,,,5,4,5,,usa,2,9,15,15,3,2,,,No,0,0,0,No,
Mturk1,28,5.25,,65,5.7,9,5,Male,38,38.6,,24,,,5,4,6,,US,2,3,13,14,3,3,,,No,0,0,0,No,
Mturk1,29,4.5,,51,1.6,5,7,Female,55,23.2,,14,,,2,6,,5,usa,4,4,13,13,3,2,,,Yes,0,1,0,No,7.5
Mturk1,30,4.5,,22,4.8,5,5,Female,28,21,,12,,,6,1,,4,usa,2,5,14,17,3,1,2,5,Yes,1,0,0,No,2.5
Mturk1,31,4.5,,33,5.9,13,7,Male,28,20.33333333,,16,,,4,4,5,,USA,2,2,15,16,3,1,5,6,Yes,0,0,0,No,13.75
Mturk1,32,6.5,,22,4.6,13,6,Male,26,17.2,,14.25,,,5,2,3,,USA,4,3,14,15,3,1,3,3,No,0,0,0,No,
Mturk1,33,5,,48,5.3,6,5,Male,22,25.5,,,,,7,1,4,,United States,2,4,13,14,3,2,,,No,0,0,0,No,
Mturk1,34,5.75,,27,3.1,9,8,Female,36,21.75,,12.25,,,4,5,,5,usa,4,1,15,15,3,1,6,3,Yes,3,2,1,Yes,10.5
Mturk1,35,4,,27,4.2,5,5,Female,31,21.6,,15.5,,,4,6,,1,United States,2,5,14,14,2,1,5,6,No,0,0,0,No,
Mturk1,36,6,,51,4.6,5,5,Male,23,34,,18,,,4,4,4,,USA,5,2,15,17,3,1,2,4,No,0,0,0,No,
Mturk1,37,4.5,,66,4.9,15,6,Male,25,28.8,,18,,,3,5,2,,USA,2,5,14,15,3,2,,,Yes,0,1,0,No,2.5
Mturk1,38,4.5,,60,2.8,12,6,Female,31,10.5,,,,,3,5,,3,USA,4,5,14,14,2,1,6,4,Yes,0,2,0,No,5
Mturk1,39,2.5,,25,3.9,5,8,Male,24,21.2,,18,,,2,4,5,,USA,2,12,13,15,3,2,,,No,0,0,0,No,
Mturk1,40,2.5,,34,4.4,19,6,Male,30,26,,17.4,,,5,6,6,,America,4,4,14,17,3,3,,,No,0,0,0,No,
Mturk1,41,4,,22,5.3,6,7,Male,21,14,,15.5,,,5,6,5,,United States,3,11,14,13,3,2,,,No,0,0,0,No,
Mturk1,42,6,,38,6.6,7,5,Female,42,30,,15,,,4,4,,5,USA,2,9,13,13,3,1,5,5,Yes,2,0,0,No,10
Mturk1,43,6.75,,16,4.9,5,7,Male,25,19.5,,12,,,4,4,7,,USA,4,2,14,17,3,1,1,4,No,0,0,0,No,
Mturk1,44,4,,50,1.9,5,7,Male,33,16,,8.4,,,3,2,3,,US,4,8,14,15,3,2,,,No,0,0,0,No,
Mturk1,45,6,,52,6,5,4,Male,25,18.2,,15,,,6,5,5,,United States of America,2,11,13,14,3,2,,,No,0,0,0,No,
Mturk1,46,4.75,,27,5.8,6,6,Male,37,13.6,,5.6,,,5,4,4,,USA,4,2,15,16,3,1,5,4,No,0,0,0,No,
Mturk1,47,4,,20,4.9,11,5,Male,23,17.8,,15,,,3,2,2,,United States,2,4,13,14,3,1,3,3,No,0,0,0,No,
Mturk1,48,4.25,,24,7,12,5,Female,37,16.4,,14.2,,,3,4,,4,USA,3,5,14,15,3,1,6,2,Yes,1,2,1,Yes,10.83333333
Mturk1,49,4.25,,57,4.4,11,7,Male,36,28,,16,,,4,4,4,,usa,3,9,15,15,3,1,3,5,No,0,0,0,No,
